sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,"Avenida Viento del Mar, Las Conchas MX-SON 31.29032, -113.49975",False,True,2024-02-22 16:23,31.290323,10,S162601590,True,-113.499747,wessan,L17933372
Calidris mauri,Western Sandpiper,Vidanta Nuevo Vallarta Resort,False,True,2024-02-22 09:00,20.6808514,100,S163131722,False,-105.286113,wessan,L5188647
Calidris mauri,Western Sandpiper,Charleston Slough/Coast Casey Forebay,False,True,2024-02-23 23:49,37.4359191,15,S162707424,False,-122.098918,wessan,L730351
Calidris mauri,Western Sandpiper,Grayland Beach,False,True,2024-02-23 13:33,46.8094527,12,S162689032,False,-124.1008759,wessan,L3763572
Calidris mauri,Western Sandpiper,Presa Abelardo L. Rodríguez,False,True,2024-02-23 17:48,29.070274,2,S162697909,False,-110.912476,wessan,L506196
Calidris mauri,Western Sandpiper,"81308, Ahome MX-Sin. 26.10557, -109.16522",False,True,2024-02-23 09:02,26.105567,30,S162655746,True,-109.165218,wessan,L29454876
Calidris mauri,Western Sandpiper,Boca de Tomates (Jalisco),False,True,2024-02-23 13:30,20.6712255,100,S162695271,False,-105.2763297,wessan,L1907772
Calidris mauri,Western Sandpiper,"Mission Bay Park, San Diego, CA  92109, United States",False,True,2024-02-24 23:44,32.7587653,1,S165846886,True,-117.2362906,wessan,L30059063
Calidris mauri,Western Sandpiper,Bayocean Spit--ocean (west) side,False,True,2024-02-24 09:10,45.5231871,8,S162828214,False,-123.954277,wessan,L686417
Calidris mauri,Western Sandpiper,"Lynn Point Rd, Nemah",False,True,2024-02-24 13:53,46.4943608,30,S162803225,False,-123.8960409,wessan,L7714998
Calidris mauri,Western Sandpiper,"83566, Puerto Peñasco MX-Son. 31.24473, -113.23403",False,True,2024-02-24 15:55,31.244731,50,S162948872,True,-113.234029,wessan,L29512331
Calidris mauri,Western Sandpiper,"Francisco Villa, Nayarit, MX (22.222, -105.331)Geros",False,True,2024-02-24 10:30,22.2215886,45,S163393572,True,-105.3308799,wessan,L29050598
Calidris mauri,Western Sandpiper,Bolsa Chica--walkbridge/inner bay,False,True,2024-02-25 17:03,33.6965128,25,S162946626,False,-118.0451372,wessan,L1165694
Calidris mauri,Western Sandpiper,"50 1st Avenue, Seaside, Oregon, US (45.995, -123.929)",False,True,2024-02-25 12:15,45.9945408,6,S162946764,True,-123.9293989,wessan,L29510207
Calidris mauri,Western Sandpiper,Baywood Nature Trail,False,True,2024-02-25 10:41,48.0179423,9,S162904298,False,-122.2109686,wessan,L22410914
Calidris mauri,Western Sandpiper,Desembocadura de Puerto Ensenada,False,True,2024-02-25 16:40,31.857618,6,S162945855,False,-116.6222485,wessan,L4130053
Calidris mauri,Western Sandpiper,Bahía la Cholla,False,True,2024-02-25 13:00,31.3415046,12,S162941064,False,-113.6154211,wessan,L552814
Calidris mauri,Western Sandpiper,Santa Ana River mouth,False,True,2024-02-26 15:25,33.6299142,3,S163040803,False,-117.9575443,wessan,L614549
Calidris mauri,Western Sandpiper,"Ridgefield, Washington, US (45.807, -122.743)",False,True,2024-02-26 09:20,45.8070978,1,S163023694,True,-122.7434624,wessan,L29525587
Calidris mauri,Western Sandpiper,Delta—Brunswick Point (34th St Entrance),True,True,2024-02-26 09:00,49.0538375,2,S163010476,False,-123.1305235,wessan,L4472909
Calidris mauri,Western Sandpiper,Bahía de los Ángeles--Pueblo y Playa,False,True,2024-02-26 12:10,28.9497246,8,S163058553,False,-113.5588074,wessan,L3085168
Calidris mauri,Western Sandpiper,Playa Bonita,False,True,2024-02-26 15:00,31.3267331,5,S163043068,False,-113.6101341,wessan,L552815
Calidris mauri,Western Sandpiper,Marina Vallarta Club de Golf (Acceso Restringido),False,True,2024-02-26 08:51,20.6681434,55,S163010984,False,-105.2525371,wessan,L3234041
Calidris mauri,Western Sandpiper,Albany Mudflats,False,True,2024-02-27 16:29,37.892331,20,S163157090,False,-122.3117995,wessan,L484238
Calidris mauri,Western Sandpiper,Estero El Soldado--Mangles,False,True,2024-02-27 15:12,27.970952,250,S163138032,False,-110.9719536,wessan,L2484496
