subId,lat,locationPrivate,locName,obsDt,sciName,howMany,locId,obsValid,speciesCode,obsReviewed,lng,comName
S19769352,57.17012,False,St. Paul Island,2014-09-07 13:36,Calidris mauri,9,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19768182,49.2058333,False,Iona Island--South Jetty,2014-09-07 16:30,Calidris mauri,3,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19764965,27.9618001,False,Estero El Soldado,2014-09-07 08:45,Calidris mauri,,L389236,True,wessan,False,-110.9743166,Western Sandpiper
S19921718,20.2476815,True,Jocotepec,2014-09-07 08:00,Calidris mauri,1,L3094264,True,wessan,False,-103.4211731,Western Sandpiper
S19779871,34.7901193,False,Piute Ponds (permit required),2014-09-08 20:30,Calidris mauri,20,L275227,True,wessan,False,-118.1181776,Western Sandpiper
S19775466,42.1755856,False,Cave Junction Sewage Ponds (restricted access),2014-09-08 12:30,Calidris mauri,3,L2394301,True,wessan,False,-123.6505222,Western Sandpiper
S19779082,46.8197975,False,Wenas Lake,2014-09-08 16:20,Calidris mauri,3,L445111,True,wessan,False,-120.6817245,Western Sandpiper
S19784597,64.5585058,False,Nome-Council Rd.--Solomon,2014-09-08 14:00,Calidris mauri,6,L927270,True,wessan,False,-164.4438634,Western Sandpiper
S19913227,49.0721122,True,East Delta (E of BC 17A and S of BC 99),2014-09-08 18:50,Calidris mauri,10,L348400,True,wessan,False,-122.9898834,Western Sandpiper
S32941868,38.0875536,False,Nicasio Reservoir,2014-09-09 19:15,Calidris mauri,2,L623258,True,wessan,False,-122.7323055,Western Sandpiper
S19786203,45.6203,False,Smith and Bybee Lakes Wetlands Natural Area,2014-09-09 13:05,Calidris mauri,,L159604,True,wessan,False,-122.7456,Western Sandpiper
S19789331,48.7871878,False,Sandy Point,2014-09-09 18:55,Calidris mauri,1,L433644,True,wessan,False,-122.7081871,Western Sandpiper
S19789156,57.17012,False,St. Paul Island,2014-09-09 09:35,Calidris mauri,3,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19786981,49.0796846,False,Tofino airport (restricted access),2014-09-09 13:00,Calidris mauri,1,L481331,True,wessan,False,-125.7773177,Western Sandpiper
S19810193,34.2728725,False,Ventura Pier,2014-09-10 18:15,Calidris mauri,,L1411076,True,wessan,False,-119.2918998,Western Sandpiper
S19800877,45.5217439,False,Bayocean Spit--bay (east) side,2014-09-10 11:18,Calidris mauri,5,L285627,True,wessan,False,-123.9484406,Western Sandpiper
S19797159,46.8197975,False,Wenas Lake,2014-09-10 17:15,Calidris mauri,2,L445111,True,wessan,False,-120.6817245,Western Sandpiper
S19796973,57.17012,False,St. Paul Island,2014-09-10 13:00,Calidris mauri,18,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19797874,48.4401841,False,"Victoria--Selkirk Waterfront, Gorge Waterway",2014-09-10 17:25,Calidris mauri,3,L363609,True,wessan,False,-123.3793938,Western Sandpiper
S19805944,41.7441963,False,Crescent City Harbor,2014-09-11 18:30,Calidris mauri,150,L372230,True,wessan,False,-124.1915989,Western Sandpiper
S19805668,45.6203,False,Smith and Bybee Lakes Wetlands Natural Area,2014-09-11 17:30,Calidris mauri,325,L159604,True,wessan,False,-122.7456,Western Sandpiper
S19806568,48.1114603,False,Kah Tai Lagoon,2014-09-11 19:00,Calidris mauri,9,L292857,True,wessan,False,-122.7781165,Western Sandpiper
S19805959,57.17012,False,St. Paul Island,2014-09-11 09:25,Calidris mauri,16,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19806433,49.2058333,False,Iona Island--South Jetty,2014-09-11 17:00,Calidris mauri,2,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19814233,34.1767221,False,Sepulveda Basin--East of Woodley Ave,2014-09-12 18:17,Calidris mauri,1,L194688,True,wessan,False,-118.4737308,Western Sandpiper
S19814978,45.7144802,False,Sauvie Island--Oak Island (Multnomah Co.),2014-09-12 17:30,Calidris mauri,,L2365468,True,wessan,False,-122.8207541,Western Sandpiper
S19821007,48.7871878,False,Sandy Point,2014-09-12 18:50,Calidris mauri,25,L433644,True,wessan,False,-122.7081871,Western Sandpiper
S19913195,60.33692,True,Kasilof,2014-09-12 16:15,Calidris mauri,2,L357130,True,wessan,False,-151.27622,Western Sandpiper
S19812274,48.4035536,False,Clover Point,2014-09-12 09:05,Calidris mauri,5,L268086,True,wessan,False,-123.3491535,Western Sandpiper
S19824569,33.6637274,False,"IRWD San Joaquin Marsh & Wildlife Sanctuary, Irvine",2014-09-13 18:22,Calidris mauri,8,L109339,True,wessan,False,-117.8426814,Western Sandpiper
S19827689,45.6203,False,Smith and Bybee Lakes Wetlands Natural Area,2014-09-13 18:23,Calidris mauri,60,L159604,True,wessan,False,-122.7456,Western Sandpiper
S19825083,46.7687403,False,Midway Beach,2014-09-13 14:45,Calidris mauri,1,L302836,True,wessan,False,-124.0938386,Western Sandpiper
S19823937,57.17012,False,St. Paul Island,2014-09-13 12:25,Calidris mauri,1,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19836713,49.2058333,False,Iona Island--South Jetty,2014-09-13 17:50,Calidris mauri,3,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19901577,40.9721544,False,Trinity Center--south boat ramp,2014-09-14 16:45,Calidris mauri,8,L778754,True,wessan,False,-122.6910639,Western Sandpiper
S19839319,45.2707756,True,Sitka Sedge SNA--TdM N Beach,2014-09-14 18:00,Calidris mauri,10,L1635989,True,wessan,False,-123.9635385,Western Sandpiper
S19837132,46.9969771,False,Potholes Reservoir,2014-09-14 18:40,Calidris mauri,15,L1543985,True,wessan,False,-119.3150344,Western Sandpiper
S19837201,57.17012,False,St. Paul Island,2014-09-14 09:23,Calidris mauri,2,L261146,True,wessan,False,-170.296751,Western Sandpiper
S20209743,48.5952164,False,ȾIX̱EṈ / Saanichton Spit (Private Property of Tsawout Nation),2014-09-14 17:31,Calidris mauri,2,L346076,True,wessan,False,-123.3716993,Western Sandpiper
